# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x19F1808000  0x0011F000  +
0x19F1927000  0x00001000  ?
0x19F1928000  0x0011F000  +
0x19F1A47000  0x00001000  ?
0x19F1A48000  0x0011F000  +
0x19F1B67000  0x00001000  ?
0x19F1B68000  0x0027A000  +
0x19F1DE2000  0x00000200  -
0x19F1DE2200  0x00000C00  ?
0x19F1DE2E00  0x00000200  -
0x19F1DE3000  0x0011F000  +
0x19F1F02000  0x00001000  ?
0x19F1F03000  0x0011F000  +
0x19F2022000  0x00001000  ?
0x19F2023000  0x0011F000  +
0x19F2142000  0x00001000  ?
0x19F2143000  0x0011F000  +
0x19F2262000  0x00001000  ?
0x19F2263000  0x0027A000  +
0x19F24DD000  0x00001000  ?
0x19F24DE000  0x0011F000  +
0x19F25FD000  0x00000200  -
0x19F25FD200  0x00000C00  ?
0x19F25FDE00  0x00000200  -
0x19F25FE000  0x0011F000  +
0x19F271D000  0x00001000  ?
0x19F271E000  0x0011F000  +
0x19F283D000  0x00001000  ?
0x19F283E000  0x0011F000  +
0x19F295D000  0x00001000  ?
0x19F295E000  0x0011F000  +
0x19F2A7D000  0x00001000  ?
0x19F2A7E000  0x0027A000  +
0x19F2CF8000  0x00001000  ?
0x19F2CF9000  0x0011F000  +
0x19F2E18000  0x00001000  ?
0x19F2E19000  0x0011F000  +
0x19F2F38000  0x00000200  -
0x19F2F38200  0x00000C00  ?
0x19F2F38E00  0x00000200  -
0x19F2F39000  0x0011F000  +
0x19F3058000  0x00001000  ?
0x19F3059000  0x0011F000  +
0x19F3178000  0x00001000  ?
0x19F3179000  0x0011F000  +
0x19F3298000  0x00001000  ?
0x19F3299000  0x0027A000  +
0x19F3513000  0x00001000  ?
0x19F3514000  0x0011F000  +
0x19F3633000  0x00001000  ?
0x19F3634000  0x0011F000  +
0x19F3753000  0x00001000  ?
0x19F3754000  0x4A9268000  +
0x1E9C9BC000  0x00000200  -
0x1E9C9BC200  0x00000C00  ?
0x1E9C9BCE00  0x00000200  -
0x1E9C9BD000  0x0011B000  +
0x1E9CAD8000  0x00001000  ?
0x1E9CAD9000  0x0011A000  +
0x1E9CBF3000  0x00001000  ?
0x1E9CBF4000  0x0026F000  +
0x1E9CE63000  0x00000200  -
0x1E9CE63200  0x00000C00  ?
0x1E9CE63E00  0x00000200  -
0x1E9CE64000  0x0011A000  +
0x1E9CF7E000  0x00001000  ?
0x1E9CF7F000  0x0011A000  +
0x1E9D099000  0x00001000  ?
0x1E9D09A000  0x0011A000  +
0x1E9D1B4000  0x00001000  ?
0x1E9D1B5000  0x0011A000  +
0x1E9D2CF000  0x00001000  ?
0x1E9D2D0000  0x0011A000  +
0x1E9D3EA000  0x00001000  ?
