# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x61FD150000  0x00020000  ?
0x61FD170000  0x00070000  +
0x61FD1E0000  0x00010000  ?
0x61FD1F0000  0x00010000  *
0x61FD200000  0x0015F700  ?
0x61FD35F700  0x002B0900  +
0x61FD610000  0x00010000  ?
0x61FD620000  0x00010000  +
0x61FD630000  0x00020000  ?
0x61FD650000  0x00190000  +
0x61FD7E0000  0x00010000  ?
0x61FD7F0000  0x00020000  +
0x61FD810000  0x00010000  ?
0x61FD820000  0x000B6000  +
0x61FD8D6000  0x0000A000  *
0x61FD8E0000  0x00010000  ?
0x61FD8F0000  0x00010000  +
0x61FD900000  0x00020000  ?
0x61FD920000  0x002CA000  +
0x61FDBEA000  0x00006000  *
0x61FDBF0000  0x000F8D80  ?
0x61FDCE8D80  0x00916280  +
0x61FE5FF000  0x00000200  -
0x61FE5FF200  0x0000FC00  /
0x61FE60EE00  0x00000200  -
0x61FE60F000  0x00221000  +
0x61FE830000  0x00010000  ?
0x61FE840000  0x00010000  +
0x61FE850000  0x00020000  ?
0x61FE870000  0x00010000  +
0x61FE880000  0x00040000  ?
0x61FE8C0000  0x00080000  +
0x61FE940000  0x00010000  ?
0x61FE950000  0x00010000  +
0x61FE960000  0x00020000  ?
0x61FE980000  0x00010000  +
0x61FE990000  0x00040000  ?
0x61FE9D0000  0x001A0000  +
0x61FEB70000  0x00010000  ?
0x61FEB80000  0x000F0000  +
0x61FEC70000  0x00010000  ?
0x61FEC80000  0x00010000  +
0x61FEC90000  0x00020000  ?
0x61FECB0000  0x000B7000  +
0x61FED67000  0x00009000  *
0x61FED70000  0x00010000  ?
0x61FED80000  0x0000D000  +
0x61FED8D000  0x00003000  *
0x61FED90000  0x0026BA80  ?
0x61FEFFBA80  0x00320580  +
0x61FF31C000  0x00000200  -
0x61FF31C200  0x00001C00  /
0x61FF31DE00  0x00000200  -
0x61FF31E000  0x01122000  +
0x6200440000  0x00010000  ?
0x6200450000  0x00060000  +
0x62004B0000  0x00010000  *
0x62004C0000  0x00010000  ?
0x62004D0000  0x00010000  +
0x62004E0000  0x00020000  ?
0x6200500000  0x00030000  +
0x6200530000  0x00010000  ?
0x6200540000  0x00060000  +
0x62005A0000  0x00010000  ?
0x62005B0000  0x0001C000  +
0x62005CC000  0x00004000  *
0x62005D0000  0x006C7E00  ?
0x6200C97E00  0x00418200  +
0x62010B0000  0x00010000  ?
0x62010C0000  0x00040000  +
0x6201100000  0x00010000  *
0x6201110000  0x001EE000  +
0x62012FE000  0x00002000  *
0x6201300000  0x00500000  +
0x6201800000  0x00010000  ?
0x6201810000  0x00010000  +
0x6201820000  0x00020000  ?
0x6201840000  0x00020000  +
0x6201860000  0x00010000  ?
0x6201870000  0x00010000  +
0x6201880000  0x00020000  ?
0x62018A0000  0x00020000  +
0x62018C0000  0x00010000  ?
0x62018D0000  0x00010000  +
0x62018E0000  0x00020000  ?
0x6201900000  0x00020000  +
0x6201920000  0x00010000  ?
0x6201930000  0x00010000  +
0x6201940000  0x00020000  ?
0x6201960000  0x00004000  +
0x6201964000  0x0000C000  *
0x6201970000  0x00040000  ?
0x62019B0000  0x0000F000  +
0x62019BF000  0x00001000  *
0x62019C0000  0x005EAB00  ?
0x6201FAAB00  0x00025500  +
0x6201FD0000  0x00010000  *
0x6201FE0000  0x00010000  ?
0x6201FF0000  0x00005000  +
0x6201FF5000  0x0000B000  *
0x6202000000  0x00934180  ?
0x6202934180  0x00004E80  +
0x6202939000  0x00000200  -
0x6202939200  0x00005C00  /
0x620293EE00  0x00000200  -
0x620293F000  0x00A31000  +
0x6203370000  0x00010000  ?
0x6203380000  0x00010000  +
0x6203390000  0x00020000  ?
0x62033B0000  0x00170000  +
0x6203520000  0x00010000  ?
0x6203530000  0x001B0000  +
0x62036E0000  0x00010000  ?
0x62036F0000  0x00195000  +
0x6203885000  0x0000B000  *
0x6203890000  0x00010000  ?
0x62038A0000  0x001F0000  +
0x6203A90000  0x00010000  ?
0x6203AA0000  0x00170000  +
0x6203C10000  0x00010000  *
0x6203C20000  0x00026E80  ?
0x6203C46E80  0x027F9180  +
0x6206440000  0x00010000  ?
0x6206450000  0x00010000  +
0x6206460000  0x00020000  ?
0x6206480000  0x0000B000  +
0x620648B000  0x00005000  *
0x6206490000  0x00040000  ?
0x62064D0000  0x0000A000  +
0x62064DA000  0x00006000  *
0x62064E0000  0x00715F00  ?
0x6206BF5F00  0x00378100  +
0x6206F6E000  0x00000200  -
0x6206F6E200  0x00000C00  /
0x6206F6EE00  0x00000200  -
0x6206F6F000  0x00DE9000  +
0x6207D58000  0x00000200  -
0x6207D58200  0x00006C00  /
0x6207D5EE00  0x00000200  -
0x6207D5F000  0x00CB1000  +
0x6208A10000  0x00010000  ?
0x6208A20000  0x00010000  +
0x6208A30000  0x00020000  ?
0x6208A50000  0x00020000  +
0x6208A70000  0x00010000  ?
0x6208A80000  0x00010000  +
0x6208A90000  0x00020000  ?
0x6208AB0000  0x00020000  +
0x6208AD0000  0x00010000  ?
0x6208AE0000  0x00010000  +
0x6208AF0000  0x00020000  ?
0x6208B10000  0x00020000  +
0x6208B30000  0x00010000  ?
0x6208B40000  0x00056000  +
0x6208B96000  0x0000A000  *
0x6208BA0000  0x00010000  ?
0x6208BB0000  0x00010000  +
0x6208BC0000  0x00020000  ?
0x6208BE0000  0x00417000  +
0x6208FF7000  0x00009000  *
0x6209000000  0x0021B900  ?
0x620921B900  0x00194700  +
0x62093B0000  0x00010000  ?
0x62093C0000  0x000B0000  +
0x6209470000  0x00010000  ?
0x6209480000  0x00004000  +
0x6209484000  0x0000C000  *
0x6209490000  0x00020000  ?
0x62094B0000  0x00010000  +
0x62094C0000  0x00040000  ?
0x6209500000  0x00058000  +
0x6209558000  0x00008000  *
0x6209560000  0x00644F80  ?
0x6209BA4F80  0x0285B080  +
0x620C400000  0x00010000  ?
0x620C410000  0x000B0000  +
0x620C4C0000  0x00010000  ?
0x620C4D0000  0x00010000  +
0x620C4E0000  0x00020000  ?
0x620C500000  0x00020000  +
0x620C520000  0x00010000  ?
0x620C530000  0x00010000  +
0x620C540000  0x00020000  ?
0x620C560000  0x00020000  +
0x620C580000  0x00010000  ?
0x620C590000  0x00010000  +
0x620C5A0000  0x00020000  ?
0x620C5C0000  0x00020000  +
0x620C5E0000  0x00010000  ?
0x620C5F0000  0x00008000  +
0x620C5F8000  0x00008000  *
0x620C600000  0x00020000  ?
0x620C620000  0x00010000  +
0x620C630000  0x00040000  ?
0x620C670000  0x0000A000  +
0x620C67A000  0x00006000  *
0x620C680000  0x004D4000  ?
0x620CB54000  0x0009C000  +
0x620CBF0000  0x00010000  ?
0x620CC00000  0x00010000  +
0x620CC10000  0x00020000  ?
0x620CC30000  0x00020000  +
0x620CC50000  0x00010000  ?
0x620CC60000  0x00010000  +
0x620CC70000  0x00020000  ?
0x620CC90000  0x00020000  +
0x620CCB0000  0x00010000  ?
0x620CCC0000  0x00010000  +
0x620CCD0000  0x00020000  ?
0x620CCF0000  0x00020000  +
0x620CD10000  0x00010000  ?
0x620CD20000  0x00010000  +
0x620CD30000  0x00020000  ?
0x620CD50000  0x00020000  +
0x620CD70000  0x00010000  ?
0x620CD80000  0x00010000  +
0x620CD90000  0x00020000  ?
0x620CDB0000  0x00020000  +
0x620CDD0000  0x00010000  ?
0x620CDE0000  0x00010000  +
0x620CDF0000  0x00020000  ?
0x620CE10000  0x00020000  +
0x620CE30000  0x00010000  ?
0x620CE40000  0x00010000  +
0x620CE50000  0x00020000  ?
0x620CE70000  0x00020000  +
0x620CE90000  0x00010000  ?
0x620CEA0000  0x00010000  +
0x620CEB0000  0x00020000  ?
0x620CED0000  0x00003000  +
0x620CED3000  0x0000D000  *
0x620CEE0000  0x00020000  ?
0x620CF00000  0x0000A000  +
0x620CF0A000  0x00006000  *
0x620CF10000  0x00050000  +
0x620CF60000  0x00020000  ?
0x620CF80000  0x00010000  +
0x620CF90000  0x00010000  ?
0x620CFA0000  0x00030000  +
0x620CFD0000  0x00010000  ?
0x620CFE0000  0x00030000  +
0x620D010000  0x00020000  ?
0x620D030000  0x00010000  +
0x620D040000  0x00010000  ?
0x620D050000  0x00020000  +
0x620D070000  0x00010000  ?
0x620D080000  0x02390000  +
0x620F410000  0x00010000  ?
0x620F420000  0x00010000  +
0x620F430000  0x00020000  ?
0x620F450000  0x00020000  +
0x620F470000  0x00010000  ?
0x620F480000  0x00010000  +
0x620F490000  0x00020000  ?
0x620F4B0000  0x00020000  +
0x620F4D0000  0x00010000  ?
0x620F4E0000  0x00010000  +
0x620F4F0000  0x00020000  ?
0x620F510000  0x00020000  +
0x620F530000  0x00010000  ?
0x620F540000  0x00010000  +
0x620F550000  0x00020000  ?
0x620F570000  0x00020000  +
0x620F590000  0x00010000  ?
0x620F5A0000  0x00010000  +
0x620F5B0000  0x00020000  ?
0x620F5D0000  0x00020000  +
0x620F5F0000  0x00010000  ?
0x620F600000  0x00010000  +
0x620F610000  0x00020000  ?
0x620F630000  0x00020000  +
0x620F650000  0x00010000  ?
0x620F660000  0x00010000  +
0x620F670000  0x00020000  ?
0x620F690000  0x00020000  +
0x620F6B0000  0x00010000  ?
0x620F6C0000  0x00010000  +
0x620F6D0000  0x00020000  ?
0x620F6F0000  0x00020000  +
0x620F710000  0x00010000  ?
0x620F720000  0x00010000  +
0x620F730000  0x00020000  ?
0x620F750000  0x00020000  +
0x620F770000  0x00010000  ?
0x620F780000  0x00010000  +
0x620F790000  0x00020000  ?
0x620F7B0000  0x0001F000  +
0x620F7CF000  0x00001000  *
0x620F7D0000  0x00010000  ?
0x620F7E0000  0x00100000  +
0x620F8E0000  0x00010000  ?
0x620F8F0000  0x000B0000  +
0x620F9A0000  0x00010000  ?
0x620F9B0000  0x000A5000  +
0x620FA55000  0x0000B000  *
0x620FA60000  0x000A3080  ?
0x620FB03080  0x0140CF80  +
0x6210F10000  0x00010000  ?
0x6210F20000  0x00070000  +
0x6210F90000  0x00010000  ?
0x6210FA0000  0x00110000  +
0x62110B0000  0x00010000  ?
0x62110C0000  0x00190000  +
0x6211250000  0x00010000  ?
0x6211260000  0x00343000  +
0x62115A3000  0x0000D000  *
0x62115B0000  0x00010000  ?
0x62115C0000  0x0004C000  +
0x621160C000  0x00004000  *
0x6211610000  0x0018F400  ?
0x621179F400  0x00000C00  +
0x62117A0000  0x00010000  *
0x62117B0000  0x00010000  ?
0x62117C0000  0x000BD000  +
0x621187D000  0x00003000  *
0x6211880000  0x008A8A80  ?
0x6212128A80  0x003D7580  +
0x6212500000  0x00010000  ?
0x6212510000  0x00030000  +
0x6212540000  0x00010000  ?
0x6212550000  0x00030000  +
0x6212580000  0x00010000  ?
0x6212590000  0x00050000  +
0x62125E0000  0x00010000  ?
0x62125F0000  0x00010000  +
0x6212600000  0x00020000  ?
0x6212620000  0x00020000  +
0x6212640000  0x00010000  ?
0x6212650000  0x00010000  +
0x6212660000  0x00020000  ?
0x6212680000  0x00010000  +
0x6212690000  0x00040000  ?
0x62126D0000  0x00060000  +
0x6212730000  0x00010000  ?
0x6212740000  0x00010000  +
0x6212750000  0x00020000  ?
0x6212770000  0x00020000  +
0x6212790000  0x00010000  ?
0x62127A0000  0x00010000  +
0x62127B0000  0x00020000  ?
0x62127D0000  0x00020000  +
0x62127F0000  0x00010000  ?
0x6212800000  0x00010000  +
0x6212810000  0x00020000  ?
0x6212830000  0x00020000  +
0x6212850000  0x00010000  ?
0x6212860000  0x00010000  +
0x6212870000  0x00020000  ?
0x6212890000  0x00020000  +
0x62128B0000  0x00010000  ?
0x62128C0000  0x00010000  +
0x62128D0000  0x00020000  ?
0x62128F0000  0x00020000  +
0x6212910000  0x00010000  ?
0x6212920000  0x00010000  +
0x6212930000  0x00020000  ?
0x6212950000  0x00009000  +
0x6212959000  0x00007000  *
0x6212960000  0x00040000  ?
0x62129A0000  0x00010000  *
0x62129B0000  0x00102100  ?
0x6212AB2100  0x0148DF00  +
0x6213F40000  0x00010000  ?
0x6213F50000  0x00010000  +
0x6213F60000  0x00020000  ?
0x6213F80000  0x00010000  +
0x6213F90000  0x00040000  ?
0x6213FD0000  0x00020000  +
0x6213FF0000  0x00010000  ?
0x6214000000  0x00010000  +
0x6214010000  0x00020000  ?
0x6214030000  0x00010000  +
0x6214040000  0x00040000  ?
0x6214080000  0x00090000  +
0x6214110000  0x00010000  *
0x6214120000  0x00010000  ?
0x6214130000  0x00004000  +
0x6214134000  0x0000C000  *
0x6214140000  0x0060E480  ?
0x621474E480  0x00CC1B80  +
0x6215410000  0x00010000  ?
0x6215420000  0x00010000  +
0x6215430000  0x00020000  ?
0x6215450000  0x00020000  +
0x6215470000  0x00010000  ?
0x6215480000  0x00010000  +
0x6215490000  0x00020000  ?
0x62154B0000  0x00020000  +
0x62154D0000  0x00010000  ?
0x62154E0000  0x00010000  +
0x62154F0000  0x00020000  ?
0x6215510000  0x00020000  +
0x6215530000  0x00010000  ?
0x6215540000  0x00010000  +
0x6215550000  0x00020000  ?
0x6215570000  0x00020000  +
0x6215590000  0x00010000  ?
0x62155A0000  0x00010000  +
0x62155B0000  0x00020000  ?
0x62155D0000  0x00020000  +
0x62155F0000  0x00010000  ?
0x6215600000  0x00010000  +
0x6215610000  0x00020000  ?
0x6215630000  0x00020000  +
0x6215650000  0x00010000  ?
0x6215660000  0x00010000  +
0x6215670000  0x00020000  ?
0x6215690000  0x00020000  +
0x62156B0000  0x00010000  ?
0x62156C0000  0x00005000  +
0x62156C5000  0x0000B000  *
0x62156D0000  0x00020000  ?
0x62156F0000  0x00010000  +
0x6215700000  0x00040000  ?
0x6215740000  0x0004F000  +
0x621578F000  0x00001000  *
0x6215790000  0x002D1180  ?
0x6215A61180  0x0001EE80  +
0x6215A80000  0x00010000  *
0x6215A90000  0x00010000  ?
0x6215AA0000  0x00010000  +
0x6215AB0000  0x00020000  ?
0x6215AD0000  0x00020000  +
0x6215AF0000  0x00010000  ?
0x6215B00000  0x00159000  +
0x6215C59000  0x00007000  *
0x6215C60000  0x0078A800  ?
0x62163EA800  0x00C92800  +
0x621707D000  0x00000200  -
0x621707D200  0x00003C00  /
0x6217080E00  0x00000200  -
0x6217081000  0x017DF000  +
0x6218860000  0x00000200  -
0x6218860200  0x0000EC00  /
0x621886EE00  0x00000200  -
0x621886F000  0x01E7C000  +
0x621A6EB000  0x00005000  *
0x621A6F0000  0x00010000  ?
0x621A700000  0x00010000  +
0x621A710000  0x00020000  ?
0x621A730000  0x005E0000  +
0x621AD10000  0x00010000  *
0x621AD20000  0x00315C00  ?
0x621B035C00  0x0203A400  +
0x621D070000  0x00010000  ?
0x621D080000  0x00010000  +
0x621D090000  0x00020000  ?
0x621D0B0000  0x00010000  +
0x621D0C0000  0x00040000  ?
0x621D100000  0x00010000  +
0x621D110000  0x00080000  ?
0x621D190000  0x0000D000  +
0x621D19D000  0x00003000  *
0x621D1A0000  0x00100000  ?
0x621D2A0000  0x00005000  +
0x621D2A5000  0x0000B000  *
0x621D2B0000  0x003AB600  ?
0x621D65B600  0x00042A00  +
0x621D69E000  0x00000200  -
0x621D69E200  0x00010C00  /
0x621D6AEE00  0x00000200  -
0x621D6AF000  0x01298000  +
0x621E947000  0x00000200  -
0x621E947200  0x00007C00  /
0x621E94EE00  0x00000200  -
0x621E94F000  0x0006F000  +
0x621E9BE000  0x00002000  *
0x621E9C0000  0x00010000  ?
0x621E9D0000  0x00010000  +
0x621E9E0000  0x00020000  ?
0x621EA00000  0x00040000  +
0x621EA40000  0x00010000  ?
0x621EA50000  0x00130000  +
0x621EB80000  0x00010000  ?
0x621EB90000  0x00090000  +
0x621EC20000  0x00010000  ?
0x621EC30000  0x000F0000  +
0x621ED20000  0x00010000  ?
0x621ED30000  0x001B0000  +
0x621EEE0000  0x00010000  ?
0x621EEF0000  0x00020000  +
0x621EF10000  0x00010000  ?
0x621EF20000  0x00020000  +
0x621EF40000  0x00010000  ?
0x621EF50000  0x00020000  +
0x621EF70000  0x00010000  ?
0x621EF80000  0x00039000  +
0x621EFB9000  0x00007000  *
0x621EFC0000  0x00337980  ?
0x621F2F7980  0x00033680  +
0x621F32B000  0x00005000  *
0x621F330000  0x00010000  ?
0x621F340000  0x0004C000  +
0x621F38C000  0x00004000  *
0x621F390000  0x008F1000  ?
0x621FC81000  0x002DF000  +
0x621FF60000  0x00010000  ?
0x621FF70000  0x00010000  +
0x621FF80000  0x00020000  ?
0x621FFA0000  0x00020000  +
0x621FFC0000  0x00010000  ?
0x621FFD0000  0x00010000  +
0x621FFE0000  0x00020000  ?
0x6220000000  0x00010000  +
0x6220010000  0x00040000  ?
0x6220050000  0x00080000  +
0x62200D0000  0x00010000  ?
0x62200E0000  0x00215000  +
0x62202F5000  0x0000B000  *
0x6220300000  0x00010000  ?
0x6220310000  0x00009000  +
0x6220319000  0x00007000  *
0x6220320000  0x002EA680  ?
0x622060A680  0x0007F980  +
0x622068A000  0x00006000  *
0x6220690000  0x00010000  ?
0x62206A0000  0x00023000  +
0x62206C3000  0x0000D000  *
0x62206D0000  0x008C3D00  ?
0x6220F93D00  0x00090300  +
0x6221024000  0x0000C000  *
0x6221030000  0x00010000  ?
0x6221040000  0x00010000  +
0x6221050000  0x00020000  ?
0x6221070000  0x00028000  +
0x6221098000  0x00008000  *
0x62210A0000  0x0087D380  ?
0x622191D380  0x000E2C80  +
0x6221A00000  0x00010000  ?
0x6221A10000  0x00010000  +
0x6221A20000  0x00020000  ?
0x6221A40000  0x0001D000  +
0x6221A5D000  0x00003000  *
0x6221A60000  0x00010000  ?
0x6221A70000  0x00050000  +
0x6221AC0000  0x00010000  ?
0x6221AD0000  0x00040000  +
0x6221B10000  0x00010000  ?
0x6221B20000  0x00004000  +
0x6221B24000  0x0000C000  *
0x6221B30000  0x00776A00  ?
0x62222A6A00  0x000E9600  +
0x6222390000  0x00010000  ?
0x62223A0000  0x00010000  +
0x62223B0000  0x00010000  ?
0x62223C0000  0x00004000  +
0x62223C4000  0x0000C000  *
0x62223D0000  0x00845000  +
0x6222C15000  0x0000B000  *
0x6222C20000  0x00110000  +
0x6222D30000  0x00010000  ?
0x6222D40000  0x00010000  +
0x6222D50000  0x00020000  ?
0x6222D70000  0x00020000  +
0x6222D90000  0x00010000  ?
0x6222DA0000  0x00010000  +
0x6222DB0000  0x00020000  ?
0x6222DD0000  0x00020000  +
0x6222DF0000  0x00010000  ?
0x6222E00000  0x00010000  +
0x6222E10000  0x00020000  ?
0x6222E30000  0x00020000  +
0x6222E50000  0x00010000  ?
0x6222E60000  0x00010000  +
0x6222E70000  0x00020000  ?
0x6222E90000  0x00020000  +
0x6222EB0000  0x00010000  ?
0x6222EC0000  0x00010000  +
0x6222ED0000  0x00020000  ?
0x6222EF0000  0x00020000  +
0x6222F10000  0x00010000  ?
0x6222F20000  0x00010000  +
0x6222F30000  0x00020000  ?
0x6222F50000  0x00020000  +
0x6222F70000  0x00010000  ?
0x6222F80000  0x00010000  +
0x6222F90000  0x00020000  ?
0x6222FB0000  0x00020000  +
0x6222FD0000  0x00010000  ?
0x6222FE0000  0x00010000  +
0x6222FF0000  0x00020000  ?
0x6223010000  0x00020000  +
0x6223030000  0x00010000  ?
0x6223040000  0x00010000  +
0x6223050000  0x00020000  ?
0x6223070000  0x00020000  +
0x6223090000  0x00010000  ?
0x62230A0000  0x00010000  +
0x62230B0000  0x00020000  ?
0x62230D0000  0x00020000  +
0x62230F0000  0x00010000  ?
0x6223100000  0x00010000  +
0x6223110000  0x00020000  ?
0x6223130000  0x00020000  +
0x6223150000  0x00010000  ?
0x6223160000  0x00010000  +
0x6223170000  0x00020000  ?
0x6223190000  0x00020000  +
0x62231B0000  0x00010000  ?
0x62231C0000  0x00010000  +
0x62231D0000  0x00020000  ?
0x62231F0000  0x00020000  +
0x6223210000  0x00010000  ?
0x6223220000  0x00010000  +
0x6223230000  0x00020000  ?
0x6223250000  0x00020000  +
0x6223270000  0x00010000  ?
0x6223280000  0x00010000  +
0x6223290000  0x00020000  ?
0x62232B0000  0x00020000  +
0x62232D0000  0x00010000  ?
0x62232E0000  0x00010000  +
0x62232F0000  0x00020000  ?
0x6223310000  0x00020000  +
0x6223330000  0x00010000  ?
0x6223340000  0x00010000  +
0x6223350000  0x00020000  ?
0x6223370000  0x00020000  +
0x6223390000  0x00010000  ?
0x62233A0000  0x00010000  +
0x62233B0000  0x00020000  ?
0x62233D0000  0x00020000  +
0x62233F0000  0x00010000  ?
0x6223400000  0x00010000  +
0x6223410000  0x00020000  ?
0x6223430000  0x00020000  +
0x6223450000  0x00010000  ?
0x6223460000  0x00010000  +
0x6223470000  0x00020000  ?
0x6223490000  0x00003000  +
0x6223493000  0x0000D000  *
0x62234A0000  0x00040000  ?
0x62234E0000  0x0000B000  +
0x62234EB000  0x00005000  *
0x62234F0000  0x000C9700  ?
0x62235B9700  0x00020900  +
0x62235DA000  0x00006000  *
0x62235E0000  0x00010000  ?
0x62235F0000  0x00010000  *
0x6223600000  0x00942D80  ?
0x6223F42D80  0x00553280  +
0x6224496000  0x00000200  -
0x6224496200  0x00000C00  /
0x6224496E00  0x00000200  -
0x6224497000  0x005C9000  +
0x6224A60000  0x00010000  ?
0x6224A70000  0x000F0000  +
0x6224B60000  0x00010000  ?
0x6224B70000  0x00010000  +
0x6224B80000  0x00020000  ?
0x6224BA0000  0x00008000  +
0x6224BA8000  0x00008000  *
0x6224BB0000  0x00040000  ?
0x6224BF0000  0x00043000  +
0x6224C33000  0x0000D000  *
0x6224C40000  0x4103E0000  +
0x6635020000  0x00010000  *
0x6635030000  0x00009000  +
0x6635039000  0x00007000  *
0x6635040000  0x00020000  ?
0x6635060000  0x0000C000  +
0x663506C000  0x00387900  ?
0x66353F3900  0x0000C700  *
0x6635400000  0x00010000  ?
0x6635410000  0x00010000  *
0x6635420000  0x0095CF80  ?
0x6635D7CF80  0x00003080  *
0x6635D80000  0x00010000  ?
0x6635D90000  0x00010000  *
0x6635DA0000  0x00966600  ?
0x6636706600  0x0000BA00  +
0x6636712000  0x0000E000  *
0x6636720000  0x00010000  ?
0x6636730000  0x00019000  +
0x6636749000  0x00007000  *
0x6636750000  0x0093FC80  ?
0x663708FC80  0x00000380  *
0x6637090000  0x00010000  ?
0x66370A0000  0x00010000  *
0x66370B0000  0x00969300  ?
0x6637A19300  0x00006D00  *
0x6637A20000  0x00010000  ?
0x6637A30000  0x00010000  *
0x6637A40000  0x00962980  ?
0x66383A2980  0x0000D680  *
0x66383B0000  0x00010000  ?
0x66383C0000  0x00010000  *
0x66383D0000  0x0095C000  ?
0x6638D2C000  0x00004000  *
0x6638D30000  0x00010000  ?
0x6638D40000  0x00010000  *
0x6638D50000  0x00965680  ?
0x66396B5680  0x0000A980  *
0x66396C0000  0x00010000  ?
0x66396D0000  0x00010000  *
0x66396E0000  0x0095ED00  ?
0x663A03ED00  0x00001300  *
0x663A040000  0x00010000  ?
0x663A050000  0x00010000  *
0x663A060000  0x00968380  ?
0x663A9C8380  0x00007C80  *
0x663A9D0000  0x00010000  ?
0x663A9E0000  0x00010000  *
0x663A9F0000  0x00961A00  ?
0x663B351A00  0x0000E600  *
0x663B360000  0x00010000  ?
0x663B370000  0x00010000  *
0x663B380000  0x0095B080  ?
0x663BCDB080  0x00004F80  *
0x663BCE0000  0x00010000  ?
0x663BCF0000  0x00010000  *
0x663BD00000  0x00964700  ?
0x663C664700  0x0000B900  *
0x663C670000  0x00010000  ?
0x663C680000  0x00010000  *
0x663C690000  0x0095DD80  ?
0x663CFEDD80  0x00002280  *
0x663CFF0000  0x00010000  ?
0x663D000000  0x00010000  *
0x663D010000  0x00967400  ?
0x663D977400  0x00008C00  *
0x663D980000  0x00010000  ?
0x663D990000  0x00010000  *
0x663D9A0000  0x00960A80  ?
0x663E300A80  0x0000F580  *
0x663E310000  0x00010000  ?
0x663E320000  0x00010000  *
0x663E330000  0x0095A100  ?
0x663EC8A100  0x00005F00  *
0x663EC90000  0x00010000  ?
0x663ECA0000  0x00010000  *
0x663ECB0000  0x00963780  ?
0x663F613780  0x0000C880  *
0x663F620000  0x00010000  ?
0x663F630000  0x00010000  *
0x663F640000  0x0095CE00  ?
0x663FF9CE00  0x00003200  *
0x663FFA0000  0x00010000  ?
0x663FFB0000  0x00010000  *
0x663FFC0000  0x00966480  ?
0x6640926480  0x00009B80  *
0x6640930000  0x00010000  ?
0x6640940000  0x00010000  *
0x6640950000  0x0095FB00  ?
0x66412AFB00  0x00000500  *
0x66412B0000  0x00010000  ?
0x66412C0000  0x00010000  *
0x66412D0000  0x00969180  ?
0x6641C39180  0x00006E80  *
0x6641C40000  0x00010000  ?
0x6641C50000  0x00010000  *
0x6641C60000  0x00962800  ?
0x66425C2800  0x0000D800  *
0x66425D0000  0x00010000  ?
0x66425E0000  0x00010000  *
0x66425F0000  0x0095BE80  ?
0x6642F4BE80  0x00004180  *
0x6642F50000  0x00010000  ?
0x6642F60000  0x00010000  *
0x6642F70000  0x00965500  ?
0x66438D5500  0x0000AB00  *
0x66438E0000  0x00010000  ?
0x66438F0000  0x00010000  *
0x6643900000  0x0095EB80  ?
0x664425EB80  0x00001480  *
0x6644260000  0x00010000  ?
0x6644270000  0x00010000  *
0x6644280000  0x00968200  ?
0x6644BE8200  0x00007E00  *
0x6644BF0000  0x00010000  ?
0x6644C00000  0x00010000  *
0x6644C10000  0x00961880  ?
0x6645571880  0x0000E780  *
0x6645580000  0x00010000  ?
0x6645590000  0x00010000  *
0x66455A0000  0x0095AF00  ?
0x6645EFAF00  0x00005100  *
0x6645F00000  0x00010000  ?
0x6645F10000  0x00010000  *
0x6645F20000  0x00964580  ?
0x6646884580  0x0000BA80  *
0x6646890000  0x00010000  ?
0x66468A0000  0x00010000  *
0x66468B0000  0x0095DC00  ?
0x664720DC00  0x00002400  *
0x6647210000  0x00010000  ?
0x6647220000  0x00010000  *
0x6647230000  0x00967280  ?
0x6647B97280  0x00008D80  *
0x6647BA0000  0x00010000  ?
0x6647BB0000  0x00010000  *
0x6647BC0000  0x00960900  ?
0x6648520900  0x0000F700  *
0x6648530000  0x00010000  ?
0x6648540000  0x00010000  *
0x6648550000  0x00959F80  ?
0x6648EA9F80  0x00006080  *
0x6648EB0000  0x00010000  ?
0x6648EC0000  0x00010000  *
0x6648ED0000  0x00963600  ?
0x6649833600  0x0000CA00  *
0x6649840000  0x00010000  ?
0x6649850000  0x00010000  *
0x6649860000  0x0095CC80  ?
0x664A1BCC80  0x00003380  *
0x664A1C0000  0x00010000  ?
0x664A1D0000  0x00010000  *
0x664A1E0000  0x00966300  ?
0x664AB46300  0x00009D00  *
0x664AB50000  0x00010000  ?
0x664AB60000  0x00010000  *
0x664AB70000  0x0095F980  ?
0x664B4CF980  0x00000680  *
0x664B4D0000  0x00010000  ?
0x664B4E0000  0x00010000  *
0x664B4F0000  0x00969000  ?
0x664BE59000  0x00007000  *
0x664BE60000  0x00010000  ?
0x664BE70000  0x00010000  *
0x664BE80000  0x00962680  ?
0x664C7E2680  0x0000D980  *
0x664C7F0000  0x00010000  ?
0x664C800000  0x00010000  *
0x664C810000  0x0095BD00  ?
0x664D16BD00  0x00004300  *
0x664D170000  0x00010000  ?
0x664D180000  0x00010000  *
0x664D190000  0x00965380  ?
0x664DAF5380  0x0000AC80  *
0x664DB00000  0x00010000  ?
0x664DB10000  0x00010000  *
0x664DB20000  0x0095EA00  ?
0x664E47EA00  0x00001600  *
